phi_transmission,restoration_efficiency,mr,peak_I_high,peak_I_low,delta_peak_I_high,delta_peak_I_low
1.0,0.05263157894736842,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.05263157894736842,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.05263157894736842,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.10526315789473684,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.10526315789473684,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.10526315789473684,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.10526315789473684,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.10526315789473684,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.10526315789473684,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.10526315789473684,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.10526315789473684,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.10526315789473684,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.10526315789473684,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.10526315789473684,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
1.0,0.10526315789473684,0.7894736842105263,0.0037952588762242036,0.0037952588762242036,-0.0031631122971771926,-0.0031631122971771926
1.0,0.10526315789473684,0.8157894736842105,0.004151362213321465,0.004151362213321465,-0.002807008960079931,-0.002807008960079931
1.0,0.10526315789473684,0.8421052631578947,0.0045198539304729096,0.0045198539304729096,-0.0024385172429284866,-0.0024385172429284866
1.0,0.10526315789473684,0.868421052631579,0.004900243941292425,0.004900243941292425,-0.002058127232108971,-0.002058127232108971
1.0,0.10526315789473684,0.8947368421052632,0.005291647202689341,0.005291647202689341,-0.0016667239707120552,-0.0016667239707120552
1.0,0.10526315789473684,0.9210526315789473,0.005693826308981255,0.005693826308981255,-0.0012645448644201416,-0.0012645448644201416
1.0,0.10526315789473684,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.10526315789473684,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.10526315789473684,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.15789473684210525,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.15789473684210525,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.15789473684210525,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.15789473684210525,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.15789473684210525,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.15789473684210525,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.15789473684210525,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.15789473684210525,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.15789473684210525,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.15789473684210525,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.15789473684210525,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
1.0,0.15789473684210525,0.7894736842105263,0.0037952588762242036,0.0037952588762242036,-0.0031631122971771926,-0.0031631122971771926
1.0,0.15789473684210525,0.8157894736842105,0.004151362213321465,0.004151362213321465,-0.002807008960079931,-0.002807008960079931
1.0,0.15789473684210525,0.8421052631578947,0.0045198539304729096,0.0045198539304729096,-0.0024385172429284866,-0.0024385172429284866
1.0,0.15789473684210525,0.868421052631579,0.004900243941292425,0.004900243941292425,-0.002058127232108971,-0.002058127232108971
1.0,0.15789473684210525,0.8947368421052632,0.005291647202689341,0.005291647202689341,-0.0016667239707120552,-0.0016667239707120552
1.0,0.15789473684210525,0.9210526315789473,0.005693826308981255,0.005693826308981255,-0.0012645448644201416,-0.0012645448644201416
1.0,0.15789473684210525,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.15789473684210525,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.15789473684210525,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.21052631578947367,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.21052631578947367,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.21052631578947367,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.21052631578947367,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.21052631578947367,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.21052631578947367,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.21052631578947367,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.21052631578947367,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.21052631578947367,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.21052631578947367,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.21052631578947367,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
1.0,0.21052631578947367,0.7894736842105263,0.0037952588762242036,0.0037952588762242036,-0.0031631122971771926,-0.0031631122971771926
1.0,0.21052631578947367,0.8157894736842105,0.004151362213321465,0.004151362213321465,-0.002807008960079931,-0.002807008960079931
1.0,0.21052631578947367,0.8421052631578947,0.0045198539304729096,0.0045198539304729096,-0.0024385172429284866,-0.0024385172429284866
1.0,0.21052631578947367,0.868421052631579,0.004900243941292425,0.004900243941292425,-0.002058127232108971,-0.002058127232108971
1.0,0.21052631578947367,0.8947368421052632,0.005291647202689341,0.005291647202689341,-0.0016667239707120552,-0.0016667239707120552
1.0,0.21052631578947367,0.9210526315789473,0.005693826308981255,0.005693826308981255,-0.0012645448644201416,-0.0012645448644201416
1.0,0.21052631578947367,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.21052631578947367,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.21052631578947367,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.2631578947368421,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.2631578947368421,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.2631578947368421,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.2631578947368421,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.2631578947368421,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.2631578947368421,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.2631578947368421,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.2631578947368421,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.2631578947368421,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.2631578947368421,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.2631578947368421,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
1.0,0.2631578947368421,0.7894736842105263,0.0037952588762242036,0.0037952588762242036,-0.0031631122971771926,-0.0031631122971771926
1.0,0.2631578947368421,0.8157894736842105,0.004151362213321465,0.004151362213321465,-0.002807008960079931,-0.002807008960079931
1.0,0.2631578947368421,0.8421052631578947,0.0045198539304729096,0.0045198539304729096,-0.0024385172429284866,-0.0024385172429284866
1.0,0.2631578947368421,0.868421052631579,0.004900243941292425,0.004900243941292425,-0.002058127232108971,-0.002058127232108971
1.0,0.2631578947368421,0.8947368421052632,0.005291647202689341,0.005291647202689341,-0.0016667239707120552,-0.0016667239707120552
1.0,0.2631578947368421,0.9210526315789473,0.005693826308981255,0.005693826308981255,-0.0012645448644201416,-0.0012645448644201416
1.0,0.2631578947368421,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.2631578947368421,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.2631578947368421,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.3157894736842105,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.3157894736842105,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.3157894736842105,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.3157894736842105,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.3157894736842105,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.3157894736842105,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.3157894736842105,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.3157894736842105,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.3157894736842105,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.3157894736842105,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.3157894736842105,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
1.0,0.3157894736842105,0.7894736842105263,0.0037952588762242036,0.0037952588762242036,-0.0031631122971771926,-0.0031631122971771926
1.0,0.3157894736842105,0.8157894736842105,0.004151362213321465,0.004151362213321465,-0.002807008960079931,-0.002807008960079931
1.0,0.3157894736842105,0.8421052631578947,0.0045198539304729096,0.0045198539304729096,-0.0024385172429284866,-0.0024385172429284866
1.0,0.3157894736842105,0.868421052631579,0.004900243941292425,0.004900243941292425,-0.002058127232108971,-0.002058127232108971
1.0,0.3157894736842105,0.8947368421052632,0.005291647202689341,0.005291647202689341,-0.0016667239707120552,-0.0016667239707120552
1.0,0.3157894736842105,0.9210526315789473,0.005693826308981255,0.005693826308981255,-0.0012645448644201416,-0.0012645448644201416
1.0,0.3157894736842105,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.3157894736842105,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.3157894736842105,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.3684210526315789,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.3684210526315789,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.3684210526315789,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.3684210526315789,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.3684210526315789,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.3684210526315789,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.3684210526315789,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.3684210526315789,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.3684210526315789,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.3684210526315789,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.3684210526315789,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
1.0,0.3684210526315789,0.7894736842105263,0.0037952588762242036,0.0037952588762242036,-0.0031631122971771926,-0.0031631122971771926
1.0,0.3684210526315789,0.8157894736842105,0.004151362213321465,0.004151362213321465,-0.002807008960079931,-0.002807008960079931
1.0,0.3684210526315789,0.8421052631578947,0.0045198539304729096,0.0045198539304729096,-0.0024385172429284866,-0.0024385172429284866
1.0,0.3684210526315789,0.868421052631579,0.004900243941292425,0.004900243941292425,-0.002058127232108971,-0.002058127232108971
1.0,0.3684210526315789,0.8947368421052632,0.005291647202689341,0.005291647202689341,-0.0016667239707120552,-0.0016667239707120552
1.0,0.3684210526315789,0.9210526315789473,0.005693826308981255,0.005693826308981255,-0.0012645448644201416,-0.0012645448644201416
1.0,0.3684210526315789,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.3684210526315789,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.3684210526315789,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.42105263157894735,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.42105263157894735,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.42105263157894735,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.42105263157894735,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.42105263157894735,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.42105263157894735,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.42105263157894735,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.42105263157894735,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.42105263157894735,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.42105263157894735,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.42105263157894735,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
1.0,0.42105263157894735,0.7894736842105263,0.0037952588762242036,0.0037952588762242036,-0.0031631122971771926,-0.0031631122971771926
1.0,0.42105263157894735,0.8157894736842105,0.004151362213321465,0.004151362213321465,-0.002807008960079931,-0.002807008960079931
1.0,0.42105263157894735,0.8421052631578947,0.0045198539304729096,0.0045198539304729096,-0.0024385172429284866,-0.0024385172429284866
1.0,0.42105263157894735,0.868421052631579,0.004900243941292425,0.004900243941292425,-0.002058127232108971,-0.002058127232108971
1.0,0.42105263157894735,0.8947368421052632,0.005291647202689341,0.005291647202689341,-0.0016667239707120552,-0.0016667239707120552
1.0,0.42105263157894735,0.9210526315789473,0.005693826308981255,0.005693826308981255,-0.0012645448644201416,-0.0012645448644201416
1.0,0.42105263157894735,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.42105263157894735,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.42105263157894735,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.47368421052631576,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.47368421052631576,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.47368421052631576,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.47368421052631576,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.47368421052631576,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.47368421052631576,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.47368421052631576,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.47368421052631576,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.47368421052631576,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.47368421052631576,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.47368421052631576,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
1.0,0.47368421052631576,0.7894736842105263,0.0037952588762242036,0.0037952588762242036,-0.0031631122971771926,-0.0031631122971771926
1.0,0.47368421052631576,0.8157894736842105,0.004151362213321465,0.004151362213321465,-0.002807008960079931,-0.002807008960079931
1.0,0.47368421052631576,0.8421052631578947,0.0045198539304729096,0.0045198539304729096,-0.0024385172429284866,-0.0024385172429284866
1.0,0.47368421052631576,0.868421052631579,0.004900243941292425,0.004900243941292425,-0.002058127232108971,-0.002058127232108971
1.0,0.47368421052631576,0.8947368421052632,0.005291647202689341,0.005291647202689341,-0.0016667239707120552,-0.0016667239707120552
1.0,0.47368421052631576,0.9210526315789473,0.005693826308981255,0.005693826308981255,-0.0012645448644201416,-0.0012645448644201416
1.0,0.47368421052631576,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.47368421052631576,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.47368421052631576,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.5263157894736842,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.5263157894736842,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.5263157894736842,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.5263157894736842,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.5263157894736842,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.5263157894736842,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.5263157894736842,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.5263157894736842,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.5263157894736842,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.5263157894736842,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.5263157894736842,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
1.0,0.5263157894736842,0.7894736842105263,0.0037952588762242036,0.0037952588762242036,-0.0031631122971771926,-0.0031631122971771926
1.0,0.5263157894736842,0.8157894736842105,0.004151362213321465,0.004151362213321465,-0.002807008960079931,-0.002807008960079931
1.0,0.5263157894736842,0.8421052631578947,0.0045198539304729096,0.0045198539304729096,-0.0024385172429284866,-0.0024385172429284866
1.0,0.5263157894736842,0.868421052631579,0.004900243941292425,0.004900243941292425,-0.002058127232108971,-0.002058127232108971
1.0,0.5263157894736842,0.8947368421052632,0.005291647202689341,0.005291647202689341,-0.0016667239707120552,-0.0016667239707120552
1.0,0.5263157894736842,0.9210526315789473,0.005693826308981255,0.005693826308981255,-0.0012645448644201416,-0.0012645448644201416
1.0,0.5263157894736842,0.9473684210526315,0.006105905278685715,0.006105905278685715,-0.000852465894715681,-0.000852465894715681
1.0,0.5263157894736842,0.9736842105263157,0.0065275112460300745,0.0065275112460300745,-0.0004308599273713217,-0.0004308599273713217
1.0,0.5263157894736842,1.0,0.006958371173401396,0.006958371173401396,0.0,0.0
1.0,0.5789473684210527,0.5,0.000900569614629461,0.000900569614629461,-0.006057801558771935,-0.006057801558771935
1.0,0.5789473684210527,0.5263157894736842,0.0010710236253380983,0.0010710236253380983,-0.005887347548063298,-0.005887347548063298
1.0,0.5789473684210527,0.5526315789473684,0.0012628202801430574,0.0012628202801430574,-0.005695550893258339,-0.005695550893258339
1.0,0.5789473684210527,0.5789473684210527,0.0014749184419152487,0.0014749184419152487,-0.0054834527314861475,-0.0054834527314861475
1.0,0.5789473684210527,0.6052631578947368,0.0017063774664752385,0.0017063774664752385,-0.005251993706926158,-0.005251993706926158
1.0,0.5789473684210527,0.631578947368421,0.001956242063890063,0.001956242063890063,-0.005002129109511333,-0.005002129109511333
1.0,0.5789473684210527,0.6578947368421053,0.0022236257897688804,0.0022236257897688804,-0.004734745383632516,-0.004734745383632516
1.0,0.5789473684210527,0.6842105263157895,0.002507640752010845,0.002507640752010845,-0.004450730421390551,-0.004450730421390551
1.0,0.5789473684210527,0.7105263157894737,0.002807655213097799,0.002807655213097799,-0.004150715960303597,-0.004150715960303597
1.0,0.5789473684210527,0.7368421052631579,0.003122709900777062,0.003122709900777062,-0.0038356612726243343,-0.0038356612726243343
1.0,0.5789473684210527,0.763157894736842,0.003452120019525322,0.003452120019525322,-0.0035062511538760744,-0.0035062511538760744
